Unnamed: 0	Review	Sentiment
156	On 04 Oct 2024 Mr.SANDEEP called and stated that he purchase the TOYOTA GLANZA on 2nd Aug 2024 and yesterday on 03 Oct 2024 while driving vehicle Tyre got burst, Guest stating he reported this issue to dealership and they said it won't be cover in warranty so, he have to claim the insurance, guest asking why tyre warranty is not there in Toyota? I have educate the guest because Tyre comes under wear and tear parts so, it wont be cover under Warranty, however our dealership will provide enough support on that, Guest asked while purchasing why the sales person did not informed his that tyre will not cover under warranty ?? also guest stated he took the delivery from this dealership only and they did not provide him the RC and when he is calling them there is no response from there end, also as per commitment they did not provide the FAST-TAGG also,	Frustrated
157	However, what followed was a series of unacceptable and contradictory responses from team, 1.The service team claimed that the oil chamber was hit by something, which caused the leak. This explanation is absolutely false, as the oil chamber is protected by a plastic cap, and the car had not been hit by anything.  On 4-Oct-24 received an mail from Mr.Ajay Jain stated that he have purchased innova hycross on 20-05-2023, Within a short period of purchasing the vehicle, it suffered a serious manufacturing defect 'the oil chamber '*burst* on a flyover on 25th September ,2024, causing all the oil to spill out. he immediately contacted Toyota's 24x7 service, and the car was towed to Galaxy Toyota Service Centre in Moti Nagar.	Highly Frustrated
158	"WRT TRQ0824015444, TRQ0924017669, On 4th Oct we received a mail from Mr.Vicky Lagad stating that the dealership has done the B&P work second time but still the quality of the work is not good due to that he is highly disappointed from the Toyota work quality as the dealership has painted the bumper without opening it and which lead to no proper finishing and there are some spot where the paint getting out due to all this he is very disappointed and there is no satisfactory response from dealership so he want his issue to be resolved ASAP, waiting for a positive response. CLI:8767672020 [ANKIT TKM GEC]
"	Highly Frustrated
159	On 03/10/2024 Mr. Nithin called and stated that he was facing Steering noise issue in his vehicle from past 9 months. Guest said the noise is only heard when the vehicle is driven in mud road or else there would be normal.  Dealership is telling him that the vehicle is perfectly alright and there is no noise in the vehicle and guest is just assuming it. Guest said he gave his vehicle 2 times already, But also facing the same issue. Guest said he is very much disappointed and needs his vehicle repaired on this concern ASAP. Kindly assist the guest. Cli:9099946436 [Gagan/TKMGEC]	Unsatisfied
160	"On 4th Oct,24 we received an email from Mr. Ashish Jha, stated that since the delivery of the vehicle, the rear seat has had a malfunction, where it does not fit properly, resulting in a persistent noise and discomfort for passengers. Guest initially brought this to the attention of Rajendra Toyota, Prayagraj, during the first service, where he was assured that the issue would be resolved. However, no action was taken to address the problem.  Later, guest had the vehicle serviced at Heritage Toyota, Ranchi, and again highlighted the same issue. Despite keeping the vehicle for two days, they were unable to fix the rear seat problem. Guest also mentioned that additionally, they performed unnecessary procedures, such as an ""Engine flush,"" which appeared to be done for more financial gain than addressing the core issue, which he raised."	Frustrated
161	Dcm Complaint attached Registered As per Santosh San request	Highly Frustrated
162	 On 4 oct Mr Madhur jain called and stated he has purchased Glanza vehicle and Guest asked for quotation dealer gave the quotation of Rs59500 for insurance and when he got the invoice for insurance it was Rs 43726 Guest has paid premium of Rs 15774 when he asked the  sales advisor it was told this is how the co takes and give  large discounts on sales and the total amount quoted was  Rs 11,79,000 and the discount of Rs 79k was given to the guest he had also exchanged a car including that Guest paid Rs 11,00,000 Guest dint get all the receipts he have got insurance in which price is mismatching CLI;1435504344[Saba/TKMGEC]	Unsatisfied
163	On 4 oct Mr Harender pal called and stated he is having Glanza vehicle had got it serviced last week when he was travelling  vehicle stopped and it was towed by RSA to nearest dealer. After inspecting it was told clutch  must be replaced. Guest told he is not satisfied with the dealer he wants 2-3 trained technicians to check the vehicle and still there s issue ten wants it to be replaced. Guest also told he is driving vehicle from 35 years so soon clutch will not wear out. Dealer also told parts are not available they have to get it from Bangalore and it will take 4 days .Guest is stating just a clutch is not available in Mumbai there are 7 dealers can check with them and get it fixed he cannot wait for 4 days Guest also told this issue is occurring after service something must have happened CLI:9815320793 [Saba/TKMGEC] 	Frustrated
164	"On 04 Oct 2024 Mr.Nainan  called and stated that he booked the Innova Hycross on 15th April 2024, Because dealership had committed to him they will delivered the vehicle by 25 Aug 2024 then only he booked the vehicle because that was his wife birthday, Guest stating some how they extended the delivery date to Sept, and in sept they said they will provide the vehicle by 3rd OCT 2024, When 3rd of oct he called to them they said they will provided the dispatch details by 5th Sept but today he is getting the massage from there end they can give him the update by 15 to 20 oct 24"" So, guest is highly frustrated with this, he is saying if they are not able to give the vehicle they could have informed earlier, because dealership had committed as per availability they will"	Highly Frustrated
165	WBT ss unable to fetch the details but guest getting update. the vehicle. Guest said even he not sure about that they will delivery the vehicle. Kindly do needful. CLI: 9896912911 [Indharjeeth TKM-GEC]   	Frustrated
166	On 4th Oct received an E-mail from Mr. Mallesh Regu stating that he have booked Innova Crysta GX+ Vehicle on 10/09/2024 an they have given a commitment of vehicle delivery by 10 of Oct 2024 and now they are saying that vehicle has not been allocated and they cannot provide a vehicle to guest, how can they blame guest on this? By giving the commitment and they have booked the vehicle just because of business count and there is no proper response from any of the team of Durga prasad and Satish and his Team from NAGARAM BRANCH. Even the GM is not supporting guest. Guest is disappointed and need his car delivery by 10th Oct without fail with a positive response at the earliest. Kindly look into the matter and do the needful ASAP. CLI: 8096267499 / 9848045215 [Akshay TKM GEC].	Frustrated
167	Guest said he is very disappointed with that. Guest said he wants his issue should get solve ASAP. Kindly do need fully.CLI:9600111150  [Indharjeeth TKM-GEC]     On 04th Oct 24 Mr. Hasan Ali called and stated that, Guest said he gave his vehicle for General service and after that his vehicle ran only 5km and rear left side Tire got burst while driving and he contact with dealership and they sent the advisor to change the tire and dealership sent the report to  Bridgestone Tire company and they rejected the Tire due to sharp edge. 	Frustrated
168	On 4-Oct-24 received an mail from Mr.SL SUDARSANAM(advocate) behalf of (S,jothi laksmi) sent a legal notice stating that she have purchased the vehicle in 16-11-23, his client used the vehicle for approximately 996 kilometers, when1000 km service in Madurai ANNAMALAIS TOYOTA noticed (TRC light glowing in cluster) during which no issues were observed. However, on31.05.2024, while using the vehicle locally, the car broke down for the first time near Pollachi.  Upon contacting a Toyota mechanic in Coimbatore, his client was advised to take the vehicle to Annamalai Motors in Coimbatore. Upon inspection, it was found that the breakdown was caused by an ADBLUEDPE full engine warn????ng light glowing continuously. The system was reset, and his client resumed using the car. His client states that unfortunately after the aforementioned first repair, the same issue resurfaced. 	Frustrated
169	On 04-10-24 Mr. Venkatesh out called and stated that he  have a Innova Hycross , Guest said that he give his vehicle to the dealership in order to claim insurance on 11/09 ,at the time guest mentioned that to the dealership that in the vehicle there is some insurance book and also Android Auto check cable, and after B&P when he visited the dealership to pick the vehicle he noticed that the cable is missing and after service the auto window panel is not working properly  regarding which he received the call from the dealership stating that the window had the issue before B&P, Guest denied that there was no such issue in the vehicle, dealership mentioned that hey have solved the issue of the window by communicating with the TOP management, Guest also mentioned that on 22/09, he checked that Toyota app and noticed that the vehicle as Run 16 km by the dealership,	Frustrated
170	On 4th Oct Mr. Rasharaman called and stated that on 30th Aug he purchased UCH and at that time sales executive informed if he pays extra Rs.18,307/- he can get extended warranty in which he will get 5 years or 1.5 lack km and today he went to dealership for service and he asked them that in i connect app it showing only 5 years or 1 lack km they said for 1.5 lack km amount is 25k so he has to pay more guest said he will pay the rest of the amount now itself but still dealership denied to update the warranty as they said he has to wait 5 years or 1 lack km then only they can update it and that time also he has to pay as per the condition of the vehicle until then they can't update also manager came and misbehave with customer guest is very disappointed he wants the service for which he paid and what he was promised to him while purchasing the vehicle please do the needful.CLI:9276057028(TKM GEC/Shubham M)	Frustrated
171	On 4th Oct Mr. PK jain called and stated that yesterday morning at 9am guest gave his vehicle for general service also there was some issue in AC and dealership gave the quotation of 30k also informed him to return the vehicle by yesterday evening itself but till now they haven't return the vehicle and they contacted guest and said there is another issue of clutch has come and now it will cost him total of 41k guest is very disappointed he is saying this never happened with him earlier they didn't inform anything about the clutch guest wants response from the team asap.CLI:8530588382(TKM GEC/Shubham M)	Highly Frustrated
172	"On 04/10/2024 Mr.SHARAD PAWAR called in and stated that his mobile number and the name in the database has been changed .So guest is not able to login to the i-connect application . Guest also contacted the dealer about the same they have informed that they don't have any access to change or update the mobile number . Guest is very irate and telling that he wants to know who has changed the mobile number and the name of the guest . Guest name is Mr.SHARAD PAWAR and number is 9527373055 . Guest wants the name and mobile number to be updated at the earliest .Kindly check this issue and resolved ASAP.CLI-9527373055(TKM-GEC-Rekha). 
"	Frustrated
173	 on the 04-10-24 mr sharma called in and stated that he has given his vehicle for the service and now after the service guest noticed that small dots of the paint is presnt in the all over the body of the vehicle and even on the windshield guest was upset why paint dots on the vehicle now it will his vehicle paint want assistance and solution asap and even guest want action on the dealer asap or else will proceed legally cil:9782222266(avinash tkm gec)  *Call recording attached 	Frustrated
174	On 4 oct 24 Mr. Harsha Agwal called and stated that he has Innova crysta vehicle and he is facing issue with his windshield Cowl top rubber as it is getting Crack automatically and Guest had taken his vehicle to Dealership for showing they are saying due to sun heat it is getting Crack and Guest is saying that his vehicle was Purchase On Jan 2024 and he needs to Know why so soon his windshield got Damaged and is it manufacturing Defect and due to this his Resale value will go down so Kindly do needful ASAP CLI:8005717536 (SUHASAN TKMGEC)	Unsatisfied
175	**DCM SS On 03/10/2024 Mr. Utpal Kumar called and stated that he got his vehicle delivery 3 months back and till-now his vehicle RC in not been received by him. Guest said why it is taking him 3 months for the vehicle RC. Dealership is telling him that under process or do it by today or tomorrow or lame excuses. Guest is very much disappointed and needs a proper clarification on his concern. Kindly assist the guest. Cli:8510045633 [Gagan/TKMGEC]	Highly Frustrated
176	On 4th Oct received an E-mail from Mr. JaiSudhan stating that he is writing to formally bring to the attention an ongoing issue he is experiencing with the delivery of his booked Toyota Hycross vehicle. Guest placed his order of (Innova Hycross ZXO varient Blakish Ageha glass flake Colour) in good faith with Anaamalais Toyota Madurai for a promised delivery date before Aug 2024 which he booked on 26th Feb 24, but unfortunately,  guest have not yet received his vehicle despite multiple inquiries. This significant delay has caused considerable inconvenience, as he was assured of timely delivery at the time of booking. The dealership has been unable to provide any satisfactory explanation or solution, and guest is left with no choice but to escalate this matter to Toyota in hopes of a swift resolution. 	Frustrated
177	WBT SS * Unable to find the Information and he mention that the Surveyor Mr.Amrish Choudhry and dealership person behaving very rudely with him and indirectly they are trying to take bribe with him due to that he is very disappointed and want his issue to be resolved ASAP, waiting for a positive response. CLI: 7880275522 [ANKIT TKM GEC]	Highly Frustrated
178	Registered As per Amol San Request  Dcm attached	Frustrated
179	On 03/10/2024 Mr. Satish called and stated that he booked Innova Hycross ZX(0) - 7S on may and he was comitted to get the vehicle delivery by 13st Sept and later it was changed to Dussherra festival. Guest said he received a message that his vehicle is dispatched and his vehicle chassis and Engine number also been shared. Guest said Engine - 2942588 VIN- 202408193466, Which is been shared by the dealership agent for him.  Guest said according to the message he also sanctioned his vehicle loan and the best part is that his vehicle EMI is also started. Guest said he booked in different location (SRIKAKULAM) and wants delivery in Different location (Hyderabad), Dealership informed him that he can get the vehicle delivery from where ever he wants and there is no issue in it. 	Unsatisfied
180	"appointment on 10 oct . Guest stated that day by day dealer was rescheduling the date of service . The service will be done under warranty. Guest stated that he was harrassed by the dealer. He wanted the service appointment as soon as possible. Kindly do the needful. CLI. 9999878099 [ Nitisha /TKM GEC]  
 On 4th oct , Mr. Gagandeep Singh called and stated that there was a sunroof problem in his vehicle and dealer ordered the part. Guest got the message that on 21st sep the parts were delivered. Then the service appointment was scheduled on 24th sep  then dealer rescheduled the date of service by 6 oct because there were many vehicle for the servicing and guest's vehicle took 3 days for service, again dealer rescheduled the service "	Unsatisfied
181	W.R.T: TRQ0924016857. On 4th Oct received an E-mail from Mr. Devaraj Nallasivam stating that he have raised the complaint to dealer to rectify the issue. Guest is not getting any response. Guest concern is he gave his vehicle to the dealership for some repair and dealership is telling that the parts is not available and guest needs to know which are that parts. Kindly expedite.  Guest is highly disappointed and need solution at the earliest with a positive response. Kindly look into the matter and do the needful ASAP. CLI: 9900105198 [Akshay TKM GEC].	Frustrated
182	*complaint registered as per VOC ORDER ID   -    ORD210000889	Highly Frustrated
183	mentioned that it is too hot and humid inside the dealership and there is no space to park the vehicle .As he was a loyal customer of Toyota he is disappointed with this facility .Kindly look into the concern and do the needful.CLI:9935035700   (Yashwanth TKM-GEC). On 04/10/24, we have received a mail from Mr.Praveen stated that he had been to dealership for the tire replacement work .He has been waiting for 2 hours there is no proper response from the dealer . Dealer is stating that he will check out after lunch , non availability of staff ,etc.. Guest is disappointed with the words of dealer and there is no AC at the dealership .Guest	Highly Frustrated
184	"*** WBT screenshot has been taken for reference ***  Guest mentioned that he knows someone who booked the vehicle in the same month of the guest and got delivered his vehicle and the person told the guest that to get the delivery earlier you have to take 10lakh loan from the dealership. Guest is highly disappointed and wants his vehicle to be delivered with in the time line given by the dealership. kindly do the needful. CLI:- 9810244212 (Sudipta TKM GEC)
"	Frustrated
185	"Mr. Aman Deep who assisted them and lead to bad experience. Guest want this to be escalated, and needed a clarity and resolution. Also guest was facing in Issue in I-Connect Application were it showing ""Smart Features are inaccessible, and visit Toyota Website"". Kindly do the needful. CLI: 9813556778 [Deepak/TKMGEC] On 4th of Oct Mr. Mohith Called us and stated that he bought a Fortuner LE 2months Back, and shared a Very bad experience with MGF Toyota, and wanted to Raise a Complaint on it, Guest told us, he purchased the insurance from Dealer which they provided, and at the very end they stated that Insurance isnt getting approved by Insurance Company, and changed that insurance and charged Double were he paid 50k. Guest was committed some accessories which worth 25K+, is not provided yet, Sales Advisor"	Frustrated
186	W.R.T: TCM0423086607. On 4th Oct received an E-mail from Mr. Vivek Singh stating that he is attached to Toyota family since last 10 years and currently he is using a Toyota Fortuner 2018 model (JH10BP8181) which was serviced on time and from the authorized service Centre, from last few months guest vehicle is constantly emitting smoke on throttle and to which guest went to the Service Centre (RSYA Dhanbad Auto Private Limited) for getting the issue fixed,  but the said service personnel's said that they are unable to diagnose the issue and as such guest vehicle cannot be repaired. They also sent the fuel for testing which was used in guest vehicle of which the fuel testing agency said that the fuel was of good quality. Currently guest vehicle is lying in the said Service Centre from last 1 month and no positive feedback is being given by the Service Centre and on query they say that they cannot repair his vehicle, 	Frustrated
187	On 4th Oct we received an email from Mr. Dinesh Sharma stated that he given his vehicle for general servicing 2 months back & within 5K km his vehicle got broke down & he connected to RSA but he received the very late reponse from the RSA team. Guest stated that at the time of vehicle purchase that time itself he taken RSA service but yesterday RSA team  charged him. Guest stated that due to this incident he cancelled his Fortuner legender's booking plan. Guest stated that depends on Company actions against RSA he will think about purchase of Fortuner legender. Guest stated that this kind of treatment he did not expected from Toyota. Guest is very much disappointed & waiting for positive response.	Frustrated
188	DCM SST*** is no response from dealership end, one of the dealership person who opened his job card he is not assisting him properly, Now i have educate the guest he will get the solution form dealership, Kindly update and do the needful. CLI- 9876196096 [ANIL TKM GEC] 	Unsatisfied
189	On 04th Oct 24 Mr.Pawan sharma called and stated that, He booked UCH Vehicle on 6 Sep 24. Dealership said that they will delivery the vehicle on 4th September during the auspicious hours and there were multiple confirmation on this. Even on 25th Sep. Guest said dealership said they he will earlier than Navratras take the delivery. This last minute changes puts me in  embarrassing situation where I had planned delivery of car with my family and friends. My family travelled from Chandigarh to accept the delivery with me. Guest said today there are saying that they will confirm that vehicle is available or not and they are not confirming that when he will get the vehicle. Guest said he is very disappointed. Kindly do need fully.CLI:8373909039/9899602640  [Indharjeeth TKM-GEC] 	Frustrated
190	WBT ss attached** significant inconvenience and financial loss due to the forgone interest on his booking amount. As a valued customer of a reputed brand like Toyota, he expect timely delivery and transparent communication .Guest requested for  expedite the delivery process and provide a firm delivery date and to compensate for the financial loss incurred due to delayed delivery. .Kindly look into the concern and do the needful. CLI: 9027193382 (Yashwanth TKM-GEC).	Frustrated
191	"On 4th oct , Mr. Bhupendra called and stated that on 26 sep he gave his vehicle for general service 60k km and bushing work but the servicing was not done properly, washing was not good and other problems are generated like  break indicator is blinking. Guest stated that dealer delayed in the delivery and guest paid  18k and every time the dealer did the same and dealership did not have technical workers. Guest was very disappointed with the  dealership and the toyota. Kindly do the needful. Guest wanted his vehicle as soon as possible.  CLI. 9406864413 [ Nitisha /TKM GEC]  
"	Frustrated
192	On 4th Oct received an E-mail from Mr. Sathish Kumar stating that as he have bought Hyryder 'G' model from Dindigul August 2024. Vehicle is good but he have issue in visions at night time in highway and hills fog time the light is not that much bright at night time. So kindly give guest a solution and help him to resolve regarding this complaint.  Guest is highly disappointed and need solution at the earliest with a positive response.  Kindly do the needful. CLI: 9894765708 / 9791426330 [Akshay TKM GEC].	Unsatisfied
193	Nearest coding selected  Guest is very disappointed by the dealer response .So guest wants the issue to be resolved at the earliest . Kindly check this issue and resolved ASAP.CLI-9881615419(TKM-GEC-Rekha).  	Frustrated
194	On 04/10/2024 Mr. Gurmeet called and stated that he got his vehicle delivery on 17th July and till-now he didn't done his vehicle registration. Guest said he is waiting patiently for the registration and today when he contacted the sales person Mr. Harish he was very much rude to him mentioning that he can compliant to any one and he doesn't care and Guest said do his own work of RTO of documentation and they are not held responsible for it.   Guest said he is completely dissatisfied due to it, And he will go to consumer court for it. Guest said there is a issue in the Hybrid battery that the vehicle is not running in battery, Dealership informed him firstly 1000km, and later 2000kms, lastly 5000kms service the vehicle will run in battery, but there is no such thing happening. Guest is very much disappointed and needs a proper clarification on his concern. Kindly assist the guest. Cli:9805007888 [Gagan/TKMGEC]	Frustrated
195	Complaint has been registered as per last service history. Guest is non-contactable, hence we have registered/updated the complaint based on the concern shared on an e-mail. Attached e-mail for reference	Highly Frustrated
196	**DCM SS Guest said dealership is giving him the lame excuses that the amount will be couriered and it will take time, Guest said he contacted the dealership today and they said him to visit the location and he mentioned his home is 150 kms and now the dealership is mentioning that they are on leave today and they will process it by tomorrow. Guest is very much disappointed and needs vehicle booking amount refund ASAP. Kindly assist the guest on the priority basis. Cli: 9125583229 [Gagan/TKMGEC]	Highly Frustrated
197	"WRT:TCM0724214588 On 03-Sep-24 received an E-mail from Mr.Akshay Khanna stated that he had raised complaint regarding delay in delivery of Innova Hycross VX(O) but till now his vehicle not delivered & also he had not received any response, Guest is saying he have still not been reached out to or allocated a vehicle after making the booking on 30/06/2024.
 Guest is very disappointed and he is waiting for positive response from concern team, Kindly revert back ASAP.CLI:8907600005 [Aditya  / Vishal TKM-GEC]"	Frustrated
198	"WRT TRQ1024018102. On 4th of Oct Mr. MD Haider Called us and stated that he owns a Crysta, and already raised a concern on it, and guest stated he received an Mail From Bridge Stone Yesterday around 10 o clock in the Morning. Were they stated that Tyre Claim has been Rejected, as its not Tyre Issue it was Road Issue. And when he spoke to Dealer and they stated, ""claim has been rejected so it will be replaced under Charges, but still we will Forward a request on it"". Guest stated its an illogical Claim Rejection, by blaming it on Road. Guest need a resolution on it. Kindly do the needful. CLI: 9160506652  [Deepak/TKMGEC]"	Unsatisfied
199	"On 4th Oct received an E-mail / Legal notice from Mr. Ravi Sankar on behalf of Mr. Sachin Kumar stating that he have Toyota Fortuner and he is facing noise issue in his car which is very frustrating to him. Guest want this issue to be resolved by the dealers. Guest is highly disappointed and need solution at the earliest with a positive response. Kindly do the needful. CLI: 8105533375 [Akshay TKM GEC].
 Legal Notice Attached**"	Frustrated
200	Nearest coding selected. Guest is non-contactable, hence we have registered/updated the complaint based on the concern shared on an e-mail. Attached e-mail for reference.	Highly Frustrated
201	10 min later when called after 10 min san told already had a word with the guest and he is satisfied and will visit dealership next time and get the work done connected with Guest he told he dint get call and he is not satisfied CLI:9928212103[Saba/TKMGEC]  come again asked to do that time itself they told it cannot be done now. Guest is disappointed  with the service he stated we trust Toyota and this service is given. Guest also told the sofas in the waiting lodge is not comfortable ,Ac is not cooling effectively, washrooms are stinking, door are opened. and the response of the dealer is not good except Mr Lokesh other guest where also complaining the same. On called with HCR san told to allow 	Frustrated
202	"Guest is asking why  dealership not resolving his issue..?? & why they are not helping him..? Guest is very much disappointed & waiting for positive response. Kindly look into this & do the needful. CLI : 9815713201 (Saloni TKMGEC)

 so he can take RSA FOC. But guest when called to RSA they said him it will be on chargeable basis. Guest stated that they did not provided clarity on RSA service & also till date his issue not resolved. Guest stated that from past 1.5 months he is chasing dealership for resolution they are not responding him on calls. Guest stated that dealership left the vehicle as it is."	Frustrated
203	"replaced asap and Guest is totally disappointed and guest is waiting for the positive response and kindly revert back asap and do needful, CLI:9847544544(Gowri Sankar TKMGEC)
 On 04-Oct-24 received an mail from Mr. Shanath K stated that he recently purchased Innova Crysta vehicle bearing KL57AB1314 and guest is facing the issue with horn and guest stated that he has gone through the dealership and informed many times but they are not responding to the guest and guest stated that the dealership is not responding and he need the horn to be "	Frustrated
204	DCM ATTACHED** for 80000 which was repaired by another workshop for free. Hence the doubt in their workmanship. His Camry also needed to be reworked on and he's still not satisfied by the work done on it also till date. guest waiting for a prompt response ASAP, cli:9818900009 [TKM CAC RAVI]	Frustrated
205	On 04-Oct-24 received an tweet from Mr.Narpat stating that he has booked Rumion on 23 Aug and he had given exact date to deliver the vehicle and guest is stating he has contacted the dealership regarding the vehicle on 1st they said the vehicle is not available and guest is disppointed and guest is stating that he want the vehicle to be ASAP and guest is the sales person is ubed singh 6390004932 and guest is stating before the delivery he has spoken to him and he has said that he is looking in the guest matter only and guest is disappointed as he has not received the vehicle and guest is mentioning if they were unable to deliver the vehicle they should have informed him and guest want a compensation as he has suffered loss due to the vehicle unavailability, guest is stating he want the issue to be resolved ASAP, kindly revert back asap and do needful, CLI:6367792380/9929601347 (Aaqib TKMGEC)	Frustrated
206	***WRT TRQ0924017673 On 4th Oct Mr. Pavan called and stated that he have cancelled Innova Hycross on 24th July and till now guest haven't received his refund and few days back they have provided 5K cheque and told that just now they received information about wrong entered amount due to which guest was very disappointed and stated that when ever guest contact dealership they are giving excuses that madam is not there for signature or any other excuses  and also stated that there is no proper service from them, so kindly do the needful. Cli: 9542693280 [Fouzan TKMGEC]	Highly Frustrated
207	On 04th Oct 24 Mr.Abhi called and stated that, He booked 2 UCH Vehicle on 23 Sep 2024 and he paid booking amount of 11000/Rs. Dealership said that they will delivery the vehicle on 3 oct 24 or on 7 oct 24. Guest said but at the time of booking they said we will discount of 80,000/rs and he selling his old vehicle  also and apart from that they will give addition discount of 35000/rs. Guest said but now there are stating that we not get the approval and we unable to give the discount . Guest said due that he book the vehicle and now there are denied and guest said he have in written what they said. Guest said he wants his issue should get solve ASAP. Kindly do need fully. CLI:8789898164  [Indharjeeth TKM-GEC] 	Frustrated
208	"On 04/10/24, we have received a mail from Mr. Rohit singh stated that he recently purchased a Toyota Hyryder (WB08S 6192) in Kolkata, and he would like to raise serious concerns about being misled and cheated by the Toyota team, resulting in my purchase under false pretenses.
Misleading Information About Vehicle Availability. He specifically requested delivery of the car in the first week of August for a special occasion. During his visit to Saini Toyota in July, he was shown a vehicle in the howroom, which then booked by trading his old car as part of the payment. However, when he followed up on August 2nd for delivery, he was incorrectly informed that the registration process would take two days. Later, he discovered that the car shown to him had already been sold to another customer. As a result, his delivery was delayed by a month, and he only received the vehicle on September 10th.Broken Commitments on Free Accessories .At the time"	Frustrated
209	On 04/10/2024 Out called Mr. Subhash Feedback in application, Guest stated that he is not happy with the product which he is owning. Guest said the vehicle he is owning Glanza has not completed 5 years but observed a major issue in the car. After reporting it to the service center found out that ABS got failure. The reason of the failure is not specified by the service staff and the vehicle is with the dealer and they are working on it. Guest said he is not sure if the issue will repeat or not, if it persists again after fixing everything he has to pay often and often and its not possible. Guest said he wants utmost support from Toyota as this issue is related to product and wanted this issue to be rectified completely. Kindly do the needful. CLI:9535676585 [Nivya TKM-GEC]	Frustrated
210	will manage . Guest is so irated that he did not get the solution for this . Guest wanted the refund of EW at the earliest. Kindly look into the concern and do the needful.CLI:9884204203  (Yashwanth TKM-GEC). (WRT.TCM0824228221)On 04/10/24, we have received a mail from Mr. YOGESH SHARMA stated that he wanted to cancel the EW of the vehicle . He had raise the grievance regarding this previously .But he did not get the proper solution for this . Guest is stating that why did the dealer informed him to buy EW as he mentioned them he will be modifying the vehicle . Now the dealer is telling that we	Unsatisfied
211	(WRT.TCM0524126244)On 05/10/24, we have received a mail from Mr. Sanjay Pathare stated that till his vehicle Low intensity of Head lamp in Highway driving is not yet resolved. He have driven car in April ???24 some 4K to 5k in 4 states .There he enquire some Hycross hybrid car owners ,they also said the there is low intensity of head light in highways. Guest mentioned his is a common issue of  Toyota  Hycross hybrid which company has to rectify the issue and not dealer. Guest stated that Either resolve the issue or he will return my Hycross hybrid to Toyota for manufacture defect. Toyota has to return the amount. Kindly look into the concern and do the needful .CLI: 9869461112 (Yashwanth TKM-GEC).	Unsatisfied
212	On 4 Oct 24 Mr. Gaurav Agarwal called and stated that he has booked Innova Hycross Vehicle on 8 Aug 24 and Guest has booked 3 vehicle in different Location and as per WBT for this vehicle we informed to Dealership Current Booking Sequence Number : 7 and waiting is mentioned 9 - 13 Weeks But Guest has got a communication from Mr. Praveen Sharma that he will get vehicle delivery in 3 Year so Guest is very disappointed and he needs to Know weather it will take 3 Year or soon he will get vehicle Delivery so Kindly do needful ASAP CLI:9958255825 (SUHASAN TKMGEC) 	Frustrated
213	On 05/10/24, we have received a mail from Mr.Bhupender Kadyan stated that he had previously sent the vehicle for service due to an alarm malfunctioning automatically. The service team diagnosed a fault with the sensor and estimated charges of approximately Rs 8,000, which he approved. Guest mentioned that after the service till the problem persist .He had contacted the dealer . Dealer stated that get back the vehicle they will check it .  Guest stated that if there is no fault in sensor why did the dealer changed and dealer had not checked the vehicle properly .Guest is disappointed with the service .Kindly look into the concern and do the needful.CLI:9822812100  (Yashwanth TKM-GEC).	Highly Frustrated
214	On 05-Oct-24 received an mail from Mr. Ameer Mohammed stated that in just 3 months period time there are many issues identified in the vehicle and when guest try to seek help they point back to guest saying it is working fine. for example, autohead lights coming up even in the day light whereas other vehicles on the road (the same model vehicle even) does not turns on, but they deny it saying it is working absolutely fine. one more thing is driver seat adjustment stopped working and they try to put the blame on seat covers. just because guest have taken the seat covers from outside. guest Questioned that if the seat covers guy broken the seat lever then why is it coming up after 3 months and guest stated why was it working fine for all this time 3 months also, when guest say it is giving mileage of only 13KM's with ECO model ON they say that it depends on the driving and guest stated there are many more cases which makes really pissed off and guest is feeling regret	Unsatisfied
215	wbt ss  time they said due to delay in parts. Guest said he need his vehicle ASAP. Kindly do needful.CLI:9381854411  [Indharjeeth TKM-GEC]   	Unsatisfied
216	On 5th Oct Mr. Mayank Sood called and stated that he have booked Innova Hycross Hybrid and due to some reason guest have cancelled the booking on 6th Sept 2024 and till now the amount is not refunded and when ever guest contact dealership they are giving excuses that amount will get refunded in 8-10days but till now the amount is not refunded due to which guest was very disappointed and stated he wants his refund amount ASAP with interest amount, so kindly do the needful. Cli: 9873795794 [Fouzan TKMGEC]	Frustrated
217	On 05/10/2024 Mr. Mahesh Java called and stated that he booked Innova Hycross ZX(0) on may 2024 and till-now he didn't got his vehicle delivery. Guest said mentioned that his vehicle is being sold in black. Guest said a friend of him called and stated that he needs the vehicle immediately and dealership said him that he needs to give them black/premium amount for 5L in cash itself  and after that they will give the vehicle is 10 days and guest said unfortunately he also doesn't have the recording to send the team. Guest said his conversation has happened with the agent Ms. Roopali and guest was very much disappointed to it. Guest said he will call with his driver and ask the vehicle for the black. 	Highly Frustrated
218	On 05/10/2024 Mr. MUTTANNA called and stated that he ordered Accessories for his vehicle on 5th Sept 2024 through the dealership and till-now he didn't got any update or response from them. Guest said excatly 1 month has been completed after booking the accesories for Gear knob, Bumper guard and wooden kit.  Guest said there was fitment done at the backside of the vehicle and hood embelm is not fitted properly in his vehicle. Guest said Mr. Sunil and Mr. Mohan Kumar is in contact with the guest. Guest said he already paid the amount and they are not answering his call to provide him the proper assistance.	Frustrated
